日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date
2017-06-09,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1604.4,,,0.0,0.0,5.0,,2017-06-09
2017-06-12,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1604.61,,,0.0,0.0,5.0,,2017-06-12
2017-06-13,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1607.35,,,0.0,0.0,5.0,,2017-06-13
2017-06-14,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1607.69,,,0.0,0.0,5.0,,2017-06-14
2017-06-15,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1608.17,,,0.0,0.0,5.0,,2017-06-15
2017-06-16,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1607.73,,,0.0,0.0,5.0,,2017-06-16
2017-06-19,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1610.83,,,0.0,0.0,5.0,,2017-06-19
2017-06-20,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1612.36,,,0.0,0.0,5.0,,2017-06-20
2017-06-21,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1614.49,,,0.0,0.0,5.0,,2017-06-21
2017-06-22,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1614.35,,,0.0,0.0,5.0,,2017-06-22
2017-06-23,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1615.13,,,0.0,0.0,5.0,,2017-06-23
2017-06-26,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.89,,,0.0,0.0,5.0,,2017-06-26
2017-06-27,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.23,,,0.0,0.0,5.0,,2017-06-27
2017-06-28,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.22,,,0.0,0.0,5.0,,2017-06-28
2017-06-29,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.49,,,0.0,0.0,5.0,,2017-06-29
2017-06-30,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.9,,,0.0,0.0,5.0,,2017-06-30
2017-07-03,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.33,,,0.0,0.0,5.0,,2017-07-03
2017-07-04,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1616.83,,,0.0,0.0,5.0,,2017-07-04
2017-07-05,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.68,,,0.0,0.0,5.0,,2017-07-05
2017-07-06,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.08,,,0.0,0.0,5.0,,2017-07-06
2017-07-07,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.21,,,0.0,0.0,5.0,,2017-07-07
2017-07-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.86,,,0.0,0.0,5.0,,2017-07-10
2017-07-11,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1618.96,,,0.0,0.0,5.0,,2017-07-11
2017-07-12,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.47,,,0.0,0.0,5.0,,2017-07-12
2017-07-13,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.33,,,0.0,0.0,5.0,,2017-07-13
2017-07-14,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1621.17,,,0.0,0.0,5.0,,2017-07-14
2017-07-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1619.22,,,0.0,0.0,5.0,,2017-07-17
2017-07-18,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1620.52,,,0.0,0.0,5.0,,2017-07-18
2017-07-19,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1623.58,,,0.0,0.0,5.0,,2017-07-19
2017-07-20,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.79,,,0.0,0.0,5.0,,2017-07-20
2017-07-21,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1625.36,,,0.0,0.0,5.0,,2017-07-21
2017-07-24,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.49,,,0.0,0.0,5.0,,2017-07-24
2017-07-25,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.38,,,0.0,0.0,5.0,,2017-07-25
2017-07-26,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.4,,,0.0,0.0,5.0,,2017-07-26
2017-07-27,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.11,,,0.0,0.0,5.0,,2017-07-27
2017-07-28,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.72,,,0.0,0.0,5.0,,2017-07-28
2017-07-31,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.67,,,0.0,0.0,5.0,,2017-07-31
2017-08-01,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.89,,,0.0,0.0,5.0,,2017-08-01
2017-08-02,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.1,,,0.0,0.0,5.0,,2017-08-02
2017-08-03,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.81,,,0.0,0.0,5.0,,2017-08-03
2017-08-04,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1627.11,,,0.0,0.0,5.0,,2017-08-04
2017-08-07,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1627.21,,,0.0,0.0,5.0,,2017-08-07
2017-08-08,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.23,,,0.0,0.0,5.0,,2017-08-08
2017-08-09,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.28,,,0.0,0.0,5.0,,2017-08-09
2017-08-10,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1626.43,,,0.0,0.0,5.0,,2017-08-10
2017-08-11,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1624.42,,,0.0,0.0,5.0,,2017-08-11
2017-08-14,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.1,,,0.0,0.0,5.0,,2017-08-14
2017-08-15,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1627.82,,,0.0,0.0,5.0,,2017-08-15
2017-08-16,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1627.38,,,0.0,0.0,5.0,,2017-08-16
2017-08-17,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1629.74,,,0.0,0.0,5.0,,2017-08-17
2017-08-18,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1629.9,,,0.0,0.0,5.0,,2017-08-18
2017-08-21,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1630.52,,,0.0,0.0,5.0,,2017-08-21
2017-08-22,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1629.9,,,0.0,0.0,5.0,,2017-08-22
2017-08-23,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1629.52,,,0.0,0.0,5.0,,2017-08-23
2017-08-24,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1628.06,,,0.0,0.0,5.0,,2017-08-24
2017-08-25,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1629.85,,,0.0,0.0,5.0,,2017-08-25
2017-08-28,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1632.36,,,0.0,0.0,5.0,,2017-08-28
2017-08-29,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1633.29,,,0.0,0.0,5.0,,2017-08-29
2017-08-30,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1632.05,,,0.0,0.0,5.0,,2017-08-30
2017-08-31,930929,中证多资产风险平价指数,中证MARP,CSI Multi Asset Risk Parity Index,CSI MARP,,,,1632.0,,,0.0,0.0,5.0,,2017-08-31
